quality,block_size,compressed_bytes,bpp,raw_bytes,compression_ratio,rmse,psnr
25,8,38773,1.0122,612890,15.8071,12.979,74.0646
50,8,48302,1.26096,612890,12.6887,9.31638,76.9445
75,8,67768,1.76914,612890,9.04394,5.3561,81.7525
